workerid,OS,screenW,screenH,Browser
0,Windows,1364,768,Chrome
1,Windows,1536,864,Chrome
2,Windows,1366,768,Chrome
3,Windows,1366,768,Chrome
4,Windows,1093,615,Chrome
5,Windows,1366,768,Chrome
6,Windows,1920,1080,Chrome
7,Windows,1920,1080,Chrome
8,Windows,1366,768,Chrome
9,Windows,1280,720,Firefox
10,Windows,1024,768,Chrome
11,Windows,1920,1080,Chrome
12,Windows,2560,1440,Chrome
13,Windows,1440,900,Chrome
14,Windows,1920,1080,Chrome
15,Windows,1280,1024,Chrome
16,Windows,1366,768,Chrome
17,Windows,1366,768,Chrome
18,Windows,1920,1080,Chrome
19,Windows,1440,900,Chrome
20,Windows,1536,864,Chrome
21,Windows,1920,1080,Chrome
22,Mac,1280,800,Chrome
23,Windows,1366,768,Chrome
24,Windows,1093,615,Chrome
25,Windows,1920,1080,Chrome
26,Windows,1366,768,Chrome
27,Linux,320,570,Chrome
28,Mac,1366,768,Chrome
29,Mac,1440,900,Chrome
30,Windows,1280,800,Chrome
31,Windows,1920,1080,Chrome
32,Windows,1024,820,Chrome
33,Windows,1366,768,Firefox
34,Mac,1440,900,Chrome
35,Windows,1920,1080,Chrome
36,Windows,2560,1440,Chrome
37,Mac,1280,800,Firefox
38,Windows,1920,1080,Chrome
39,Windows,1536,864,Chrome
40,Mac,1440,900,Chrome
26,Windows,1366,768,Chrome
41,Linux,1366,768,Chrome
42,Windows,1366,768,Chrome
43,Windows,1360,768,Firefox
44,Windows,1024,576,Firefox
45,Linux,1366,768,Chrome
46,Windows,1920,1080,Chrome
47,Windows,1600,900,Firefox
48,Windows,1360,768,Chrome
49,Windows,1366,768,Chrome
50,Windows,1920,1080,Firefox
51,Windows,1920,1080,Chrome
52,Windows,1600,900,Chrome
53,Windows,1280,1024,Chrome
54,Windows,1280,800,Chrome
55,Windows,1920,1080,Chrome
56,Windows,1366,768,Chrome
57,Linux,1366,768,Chrome
58,Windows,1920,1080,Chrome
59,Windows,1600,900,Chrome
26,Windows,1366,768,Chrome
60,Windows,1366,768,Chrome
61,Windows,2560,1440,Chrome
62,Windows,1366,768,Chrome
63,Windows,1366,768,Chrome
64,Windows,1364,768,Chrome
26,Windows,1366,768,Chrome
65,Windows,1366,768,Chrome
66,Linux,360,640,Chrome
67,Windows,1366,768,Chrome
68,Mac,1920,1080,Chrome
69,Mac,1280,800,Chrome
70,Windows,2560,1080,Chrome
71,Windows,1366,768,Chrome
72,Windows,2048,1152,Chrome
73,Windows,1920,1080,Chrome
74,Mac,1280,800,Chrome
75,Windows,1366,768,Chrome
76,Windows,1920,1080,Chrome
77,Windows,1440,900,Chrome
26,Windows,1366,768,Chrome
78,Windows,1600,900,Chrome
79,Windows,1536,864,Chrome
80,Windows,1455,819,Chrome
81,Windows,1366,768,Chrome
82,Linux,601,962,Chrome
83,Windows,1440,900,Chrome
84,Windows,1920,1080,Chrome
85,Windows,1280,1024,Chrome
86,Windows,2560,1440,Chrome
87,Windows,1536,864,Chrome
88,Mac,1366,768,Chrome
89,Windows,1920,1080,Chrome
90,Windows,1920,1080,Chrome
91,Windows,1366,768,Chrome
92,Mac,1440,900,Chrome
93,Linux,412,846,Chrome
94,Windows,1366,768,Chrome
95,Windows,1024,768,Chrome
96,Windows,1536,864,Chrome
26,Windows,1366,768,Chrome
97,Windows,2048,1152,Chrome
98,Windows,1366,768,Chrome
99,Mac,2560,1440,Chrome
100,Windows,1920,1080,Chrome
101,Windows,1280,720,Chrome
102,Mac,1280,800,Firefox
103,Windows,1920,1080,Chrome
104,Windows,1920,1080,Chrome
105,Windows,1600,900,Chrome
106,Windows,1280,720,Chrome
107,Windows,1366,768,Chrome
108,Windows,1360,768,Chrome
109,Windows,1920,1080,Chrome
110,Windows,1280,1024,Firefox
111,Windows,1536,864,Chrome
112,Windows,1920,1080,Chrome
113,Windows,1366,768,Chrome
114,Mac,1280,800,Chrome
115,Mac,1280,800,Chrome
116,Windows,1536,864,Chrome
117,Windows,1600,900,Chrome
118,Windows,1920,1080,Chrome
55,Windows,1920,1080,Chrome
119,Windows,1024,768,Chrome
120,Windows,1366,768,Chrome
121,Windows,1366,768,Firefox
122,Windows,1366,768,Chrome
123,iPhone/iPod,414,736,Safari
124,Windows,1536,864,Chrome
125,Windows,1207,678,Firefox
126,Linux,412,846,Chrome
127,Windows,1920,1080,Chrome
128,Mac,1680,1050,Chrome
129,Windows,1536,864,Chrome
130,Windows,1366,768,Firefox
131,Windows,1707,960,Chrome
132,Windows,1920,1080,Chrome
133,Windows,1920,1080,Chrome
134,Windows,1366,768,Chrome
135,Linux,1366,768,Chrome
136,Windows,1920,1080,Chrome
137,Linux,1366,768,Chrome
138,Windows,1366,768,Chrome
139,Windows,1920,1080,Chrome
140,Windows,1366,768,Chrome
141,Linux,1366,768,Chrome
142,Windows,1920,1080,Chrome
143,Windows,1600,900,Chrome
144,Windows,1920,1080,Chrome
145,Windows,1280,800,Chrome
146,Windows,1920,1200,Chrome
119,Windows,1024,768,Chrome
147,Mac,2560,1440,Firefox
148,Mac,1440,900,Chrome
149,Windows,1366,768,Chrome
150,Windows,1440,900,Chrome
151,Windows,1366,768,Chrome
152,iPhone/iPod,375,667,Safari
153,Mac,1280,1024,Chrome
154,Windows,1600,900,Firefox
155,iPhone/iPod,414,896,Safari
156,Windows,1366,768,Chrome
157,Windows,1536,864,Chrome
158,Windows,1366,768,Chrome
159,Mac,1920,1080,Chrome
160,Windows,1360,768,Chrome
161,Linux,1024,768,Chrome
162,Windows,1366,768,Chrome
163,Windows,1920,1080,Chrome
164,Windows,1920,1080,Chrome
165,Windows,1280,720,Chrome
166,Windows,1366,768,Chrome
167,Windows,1364,768,Chrome
